ID_Pedido,Fecha_Pedido,Cliente_ID,Pais,Region,Producto_ID,Categoria_Producto,Unidades_Vendidas,Precio_Unitario_USD,Costo_Produccion_Unitario_USD,Metodo_Produccion,Calidad_Algodon,Sostenibilidad_Certificada,Plazo_Entrega_Dias,Estado_Pedido,Satisfaccion_Cliente,Emision_CO2_Kg,Materia_Prima_Kg,Agua_Utilizada_L,Energia_Consumida_kWh,Fecha_Produccion,Turno_Produccion,Defectos_Unidad,Rechazos_Calidad,Ventas_Totales_USD,Costos_Totales_USD,Beneficio_USD,Margen_Beneficio
1025,2024-03-08,CL91034,Australia,Oceanía,PRD007,Tela Teñida,780,19.50,11.25,Convencional,Baja,FALSE,15,Entregado,3.8,1800,9360,510000,9600,2024-03-12,Diurno,10,5,15210,8775,6435,42.3
1026,2024-03-10,CL20345,Estados Unidos,Norteamérica,PRD001,Tela Cruda,1900,12.50,7.20,Convencional,Alta,FALSE,9,Entregado,4.2,4000,22800,1200000,23500,2024-03-14,Nocturno,19,10,23750,13680,10070,42.4
1027,2024-03-12,CL11022,México,Latinoamérica,PRD004,Tela Estampada,820,22.40,13.20,Orgánico,Media,TRUE,18,Entregado,4.7,1900,9840,530000,10000,2024-03-16,Diurno,8,3,18368,10824,7544,41.1
1028,2024-03-15,CL30567,España,Europa,PRD006,Hilado,3400,9.10,5.10,Convencional,Media,FALSE,7,Entregado,3.9,5400,40800,2040000,43500,2024-03-18,Nocturno,34,17,30940,17340,13600,44.0
1029,2024-03-18,CL40981,Brasil,Latinoamérica,PRD003,Tela Teñida,950,18.75,10.50,Orgánico,Alta,TRUE,13,Entregado,4.8,2100,11400,610000,11500,2024-03-22,Diurno,10,4,17812.5,9975,7837.5,44.0
1030,2024-03-20,CL50234,India,Asia,PRD009,Hilado,2100,8.50,4.60,Convencional,Baja,FALSE,5,Entregado,3.7,3600,25200,1260000,26900,2024-03-24,Nocturno,21,11,17850,9660,8190,45.9
1031,2024-03-23,CL60115,Francia,Europa,PRD008,Tela Estampada,580,24.30,14.80,Orgánico,Alta,TRUE,16,Entregado,4.9,1400,6960,380000,7200,2024-03-27,Diurno,6,2,14094,8584,5510,39.1
1032,2024-03-25,CL71002,Egipto,África,PRD002,Tela Cruda,1250,13.25,7.80,Convencional,Media,FALSE,10,Entregado,4.0,2700,15000,790000,15400,2024-03-29,Nocturno,13,7,16562.5,9750,6812.5,41.1
1033,2024-03-28,CL80912,Canadá,Norteamérica,PRD005,Hilado,2600,8.90,4.75,Convencional,Alta,FALSE,6,Entregado,4.1,4200,31200,1560000,33300,2024-04-01,Diurno,26,13,23140,12350,10790,46.6
1034,2024-03-30,CL91034,Australia,Oceanía,PRD001,Tela Cruda,1750,12.50,7.20,Orgánico,Alta,TRUE,11,Entregado,4.6,3700,21000,1100000,21500,2024-04-03,Nocturno,18,9,21875,12600,9275,42.4
1035,2024-04-02,CL20345,Estados Unidos,Norteamérica,PRD007,Tela Teñida,920,19.50,11.25,Convencional,Media,FALSE,14,Entregado,3.8,2100,11040,600000,11300,2024-04-06,Diurno,11,5,17940,10350,7590,42.3
1036,2024-04-05,CL11022,México,Latinoamérica,PRD010,Tela Cruda,1450,12.80,7.40,Orgánico,Media,TRUE,12,Entregado,4.5,3100,17400,920000,17900,2024-04-09,Nocturno,15,7,18560,10730,7830,42.2
1037,2024-04-08,CL30567,España,Europa,PRD003,Tela Teñida,1050,18.75,10.50,Convencional,Baja,FALSE,13,Entregado,3.6,2300,12600,680000,12800,2024-04-12,Diurno,11,5,19687.5,11025,8662.5,44.0
1038,2024-04-10,CL40981,Brasil,Latinoamérica,PRD006,Hilado,3600,9.10,5.10,Orgánico,Alta,TRUE,8,Entregado,4.9,5700,43200,2160000,46000,2024-04-14,Nocturno,29,14,32760,18360,14400,44.0
1039,2024-04-12,CL50234,India,Asia,PRD004,Tela Estampada,780,22.40,13.20,Convencional,Media,FALSE,19,Pendiente,,1800,9360,500000,9500,2024-04-16,Diurno,10,5,17472,10296,7176,41.1
1040,2024-04-15,CL60115,Francia,Europa,PRD009,Hilado,2300,8.50,4.60,Convencional,Alta,FALSE,5,Entregado,4.1,3900,27600,1380000,29500,2024-04-19,Nocturno,23,11,19550,10580,8970,45.9
1041,2024-04-18,CL71002,Egipto,África,PRD001,Tela Cruda,2000,12.50,7.20,Orgánico,Alta,TRUE,10,Entregado,4.7,4200,24000,1260000,24700,2024-04-22,Diurno,20,10,25000,14400,10600,42.4
1042,2024-04-20,CL80912,Canadá,Norteamérica,PRD008,Tela Estampada,620,24.30,14.80,Convencional,Media,FALSE,17,Entregado,3.9,1500,7440,410000,7800,2024-04-24,Nocturno,8,4,15066,9176,5890,39.1
1043,2024-04-23,CL91034,Australia,Oceanía,PRD005,Hilado,2800,8.90,4.75,Convencional,Baja,FALSE,7,Entregado,3.8,4500,33600,1680000,35900,2024-04-27,Diurno,28,15,24920,13300,11620,46.6
1044,2024-04-25,CL20345,Estados Unidos,Norteamérica,PRD002,Tela Cruda,1100,13.25,7.80,Orgánico,Alta,TRUE,11,Entregado,4.6,2400,13200,700000,13600,2024-04-29,Nocturno,11,5,14575,8580,5995,41.1
1045,2024-04-28,CL11022,México,Latinoamérica,PRD007,Tela Teñida,890,19.50,11.25,Convencional,Media,FALSE,15,Entregado,4.0,2000,10680,580000,11000,2024-05-02,Diurno,9,4,17355,10012.5,7342.5,42.3
1046,2024-05-01,CL30567,España,Europa,PRD010,Tela Cruda,1300,12.80,7.40,Convencional,Alta,FALSE,11,Entregado,4.2,2800,15600,830000,16200,2024-05-05,Nocturno,13,6,16640,9620,7020,42.2
1047,2024-05-03,CL40981,Brasil,Latinoamérica,PRD003,Tela Teñida,980,18.75,10.50,Orgánico,Media,TRUE,14,Entregado,4.7,2200,11760,630000,11900,2024-05-07,Diurno,10,4,18375,10290,8085,44.0
1048,2024-05-06,CL50234,India,Asia,PRD006,Hilado,3300,9.10,5.10,Convencional,Media,FALSE,8,Entregado,3.9,5200,39600,1980000,42300,2024-05-10,Nocturno,33,16,30030,16830,13200,44.0
1049,2024-05-08,CL60115,Francia,Europa,PRD004,Tela Estampada,710,22.40,13.20,Convencional,Alta,FALSE,18,Pendiente,,1600,8520,460000,8700,2024-05-12,Diurno,9,4,15904,9372,6532,41.1
1050,2024-05-11,CL71002,Egipto,África,PRD009,Hilado,2550,8.50,4.60,Orgánico,Alta,TRUE,5,Entregado,4.8,4300,30600,1530000,32600,2024-05-15,Nocturno,21,10,21675,11730,9945,45.9
1051,2024-05-14,CL80912,Canadá,Norteamérica,PRD001,Tela Cruda,1850,12.50,7.20,Convencional,Media,FALSE,9,Entregado,4.0,3900,22200,1170000,22900,2024-05-18,Diurno,19,10,23125,13320,9805,42.4
1052,2024-05-16,CL91034,Australia,Oceanía,PRD008,Tela Estampada,590,24.30,14.80,Convencional,Baja,FALSE,16,Entregado,3.7,1400,7080,390000,7400,2024-05-20,Nocturno,7,3,14337,8732,5605,39.1
1053,2024-05-19,CL20345,Estados Unidos,Norteamérica,PRD005,Hilado,2950,8.90,4.75,Orgánico,Alta,TRUE,7,Entregado,4.8,4700,35400,1770000,37800,2024-05-23,Diurno,24,11,26255,14012.5,12242.5,46.6
1054,2024-05-21,CL11022,México,Latinoamérica,PRD002,Tela Cruda,1200,13.25,7.80,Convencional,Alta,FALSE,12,Entregado,4.3,2600,14400,760000,14800,2024-05-25,Nocturno,12,6,15900,9360,6540,41.1
1055,2024-05-24,CL30567,España,Europa,PRD007,Tela Teñida,870,19.50,11.25,Convencional,Media,FALSE,14,Entregado,3.9,2000,10440,570000,10800,2024-05-28,Diurno,9,4,16965,9787.5,7177.5,42.3
1056,2024-05-27,CL40981,Brasil,Latinoamérica,PRD010,Tela Cruda,1400,12.80,7.40,Orgánico,Media,TRUE,12,Entregado,4.6,3000,16800,890000,17400,2024-05-31,Nocturno,14,6,17920,10360,7560,42.2
1057,2024-05-30,CL50234,India,Asia,PRD003,Tela Teñida,1020,18.75,10.50,Convencional,Baja,FALSE,13,Entregado,3.7,2200,12240,660000,12500,2024-06-03,Diurno,10,5,19125,10710,8415,44.0
1058,2024-06-02,CL60115,Francia,Europa,PRD006,Hilado,3500,9.10,5.10,Convencional,Alta,FALSE,8,Entregado,4.1,5500,42000,2100000,44800,2024-06-06,Nocturno,28,14,31850,17850,14000,44.0
1059,2024-06-04,CL71002,Egipto,África,PRD004,Tela Estampada,800,22.40,13.20,Convencional,Media,FALSE,19,Cancelado,,1800,9600,520000,9800,2024-06-08,Diurno,10,5,17920,10560,7360,41.1
1060,2024-06-07,CL80912,Canadá,Norteamérica,PRD009,Hilado,2450,8.50,4.60,Convencional,Alta,FALSE,5,Entregado,4.2,4100,29400,1470000,31400,2024-06-11,Nocturno,25,12,20825,11270,9555,45.9
1061,2024-06-09,CL91034,Australia,Oceanía,PRD001,Tela Cruda,1700,12.50,7.20,Orgánico,Alta,TRUE,10,Entregado,4.7,3600,20400,1070000,20900,2024-06-13,Diurno,17,8,21250,12240,9010,42.4
1062,2024-06-12,CL20345,Estados Unidos,Norteamérica,PRD008,Tela Estampada,610,24.30,14.80,Convencional,Media,FALSE,17,Entregado,3.8,1500,7320,400000,7600,2024-06-16,Nocturno,8,4,14823,9028,5795,39.1
1063,2024-06-14,CL11022,México,Latinoamérica,PRD005,Hilado,2650,8.90,4.75,Convencional,Baja,FALSE,7,Entregado,3.9,4200,31800,1590000,34000,2024-06-18,Diurno,27,13,23585,12587.5,10997.5,46.6
1064,2024-06-17,CL30567,España,Europa,PRD002,Tela Cruda,1150,13.25,7.80,Convencional,Media,FALSE,11,Entregado,4.0,2500,13800,730000,14200,2024-06-21,Nocturno,12,6,15237.5,8970,6267.5,41.1
1065,2024-06-19,CL40981,Brasil,Latinoamérica,PRD007,Tela Teñida,930,19.50,11.25,Orgánico,Alta,TRUE,16,Entregado,4.9,2100,11160,610000,11500,2024-06-23,Diurno,9,4,18135,10462.5,7672.5,42.3
1066,2024-06-22,CL50234,India,Asia,PRD010,Tela Cruda,1500,12.80,7.40,Convencional,Alta,FALSE,12,Entregado,4.3,3200,18000,950000,18500,2024-06-26,Nocturno,15,7,19200,11100,8100,42.2
1067,2024-06-24,CL60115,Francia,Europa,PRD003,Tela Teñida,1070,18.75,10.50,Convencional,Baja,FALSE,13,Entregado,3.7,2300,12840,690000,13100,2024-06-28,Diurno,11,5,20062.5,11235,8827.5,44.0
1068,2024-06-27,CL71002,Egipto,África,PRD006,Hilado,3700,9.10,5.10,Convencional,Media,FALSE,8,Entregado,3.9,5800,44400,2220000,47400,2024-07-01,Nocturno,30,15,33670,18870,14800,44.0
1069,2024-06-29,CL80912,Canadá,Norteamérica,PRD004,Tela Estampada,760,22.40,13.20,Convencional,Alta,FALSE,18,Pendiente,,1700,9120,490000,9300,2024-07-03,Diurno,10,5,17024,10032,6992,41.1
1070,2024-07-02,CL91034,Australia,Oceanía,PRD009,Hilado,2250,8.50,4.60,Convencional,Alta,FALSE,5,Entregado,4.2,3800,27000,1350000,28800,2024-07-06,Nocturno,23,11,19125,10350,8775,45.9
1071,2024-07-04,CL20345,Estados Unidos,Norteamérica,PRD001,Tela Cruda,1950,12.50,7.20,Orgánico,Alta,TRUE,10,Entregado,4.7,4100,23400,1230000,24100,2024-07-08,Diurno,20,9,24375,14040,10335,42.4
1072,2024-07-07,CL11022,México,Latinoamérica,PRD008,Tela Estampada,630,24.30,14.80,Convencional,Media,FALSE,16,Entregado,4.0,1500,7560,410000,7800,2024-07-11,Nocturno,8,4,15309,9324,5985,39.1
1073,2024-07-09,CL30567,España,Europa,PRD005,Hilado,3100,8.90,4.75,Convencional,Baja,FALSE,6,Entregado,3.8,4900,37200,1860000,39700,2024-07-13,Diurno,31,16,27590,14725,12865,46.6
1074,2024-07-12,CL40981,Brasil,Latinoamérica,PRD002,Tela Cruda,1250,13.25,7.80,Convencional,Alta,FALSE,11,Entregado,4.3,2700,15000,790000,15400,2024-07-16,Nocturno,13,6,16562.5,9750,6812.5,41.1
1075,2024-07-14,CL50234,India,Asia,PRD007,Tela Teñida,880,19.50,11.25,Convencional,Media,FALSE,15,Entregado,3.9,2000,10560,580000,11000,2024-07-18,Diurno,9,4,17160,9900,7260,42.3
1076,2024-07-17,CL60115,Francia,Europa,PRD010,Tela Cruda,1550,12.80,7.40,Convencional,Alta,FALSE,11,Entregado,4.2,3300,18600,980000,19100,2024-07-21,Nocturno,16,8,19840,11470,8370,42.2
1077,2024-07-19,CL71002,Egipto,África,PRD003,Tela Teñida,1010,18.75,10.50,Convencional,Baja,FALSE,14,Entregado,3.6,2200,12120,650000,12300,2024-07-23,Diurno,10,5,18937.5,10605,8332.5,44.0
1078,2024-07-22,CL80912,Canadá,Norteamérica,PRD006,Hilado,3400,9.10,5.10,Convencional,Media,FALSE,8,Entregado,3.9,5400,40800,2040000,43500,2024-07-26,Nocturno,27,13,30940,17340,13600,44.0
1079,2024-07-24,CL91034,Australia,Oceanía,PRD004,Tela Estampada,740,22.40,13.20,Convencional,Alta,FALSE,18,Cancelado,,1700,8880,480000,9100,2024-07-28,Diurno,9,4,16576,9768,6808,41.1
1080,2024-07-27,CL20345,Estados Unidos,Norteamérica,PRD009,Hilado,2350,8.50,4.60,Convencional,Alta,FALSE,5,Entregado,4.1,4000,28200,1410000,30100,2024-07-31,Nocturno,24,12,19975,10810,9165,45.9
1081,2024-07-29,CL11022,México,Latinoamérica,PRD001,Tela Cruda,1800,12.50,7.20,Convencional,Media,FALSE,9,Entregado,4.0,3800,21600,1140000,22200,2024-08-02,Diurno,18,9,22500,12960,9540,42.4
1082,2024-08-01,CL30567,España,Europa,PRD008,Tela Estampada,640,24.30,14.80,Convencional,Baja,FALSE,17,Entregado,3.7,1500,7680,420000,8000,2024-08-05,Nocturno,8,4,15552,9472,6080,39.1
1083,2024-08-03,CL40981,Brasil,Latinoamérica,PRD005,Hilado,2750,8.90,4.75,Convencional,Media,FALSE,7,Entregado,4.0,4400,33000,1650000,35200,2024-08-07,Diurno,28,14,24475,13062.5,11412.5,46.6
1084,2024-08-06,CL50234,India,Asia,PRD002,Tela Cruda,1300,13.25,7.80,Convencional,Alta,FALSE,12,Entregado,4.3,2800,15600,820000,16000,2024-08-10,Nocturno,13,6,17225,10140,7085,41.1
1085,2024-08-08,CL60115,Francia,Europa,PRD007,Tela Teñida,910,19.50,11.25,Convencional,Media,FALSE,14,Entregado,3.8,2100,10920,600000,11300,2024-08-12,Diurno,9,4,17745,10237.5,7507.5,42.3
1086,2024-08-11,CL71002,Egipto,África,PRD010,Tela Cruda,1650,12.80,7.40,Convencional,Alta,FALSE,12,Entregado,4.2,3500,19800,1040000,20300,2024-08-15,Nocturno,17,8,21120,12210,8910,42.2
1087,2024-08-13,CL80912,Canadá,Norteamérica,PRD003,Tela Teñida,990,18.75,10.50,Convencional,Baja,FALSE,13,Entregado,3.6,2100,11880,640000,12100,2024-08-17,Diurno,10,5,18562.5,10395,8167.5,44.0
1088,2024-08-16,CL91034,Australia,Oceanía,PRD006,Hilado,3600,9.10,5.10,Convencional,Alta,FALSE,8,Entregado,4.1,5700,43200,2160000,46000,2024-08-20,Nocturno,29,14,32760,18360,14400,44.0
1089,2024-08-18,CL20345,Estados Unidos,Norteamérica,PRD004,Tela Estampada,770,22.40,13.20,Convencional,Media,FALSE,19,Pendiente,,1700,9240,500000,9500,2024-08-22,Diurno,10,5,17248,10164,7084,41.1
1090,2024-08-21,CL11022,México,Latinoamérica,PRD009,Hilado,2250,8.50,4.60,Convencional,Alta,FALSE,5,Entregado,4.2,3800,27000,1350000,28800,2024-08-25,Nocturno,23,11,19125,10350,8775,45.9
1091,2024-08-23,CL30567,España,Europa,PRD001,Tela Cruda,1600,12.50,7.20,Convencional,Media,FALSE,10,Entregado,3.9,3400,19200,1010000,19700,2024-08-27,Diurno,16,8,20000,11520,8480,42.4
1092,2024-08-26,CL40981,Brasil,Latinoamérica,PRD008,Tela Estampada,650,24.30,14.80,Convencional,Baja,FALSE,16,Entregado,3.8,1600,7800,430000,8200,2024-08-30,Nocturno,8,4,15795,9620,6175,39.1
1093,2024-08-28,CL50234,India,Asia,PRD005,Hilado,2850,8.90,4.75,Convencional,Media,FALSE,7,Entregado,3.9,4500,34200,1710000,36500,2024-09-01,Diurno,29,15,25365,13537.5,11827.5,46.6
1094,2024-08-31,CL60115,Francia,Europa,PRD002,Tela Cruda,1200,13.25,7.80,Convencional,Alta,FALSE,11,Entregado,4.3,2600,14400,760000,14800,2024-09-04,Nocturno,12,6,15900,9360,6540,41.1
1095,2024-09-02,CL71002,Egipto,África,PRD007,Tela Teñida,940,19.50,11.25,Convencional,Media,FALSE,15,Entregado,3.9,2100,11280,610000,11600,2024-09-06,Diurno,9,4,18330,10575,7755,42.3
1096,2024-09-05,CL80912,Canadá,Norteamérica,PRD010,Tela Cruda,1700,12.80,7.40,Convencional,Alta,FALSE,11,Entregado,4.2,3600,20400,1070000,20900,2024-09-09,Nocturno,17,8,21760,12580,9180,42.2
1097,2024-09-07,CL91034,Australia,Oceanía,PRD003,Tela Teñida,1030,18.75,10.50,Convencional,Baja,FALSE,14,Entregado,3.7,2200,12360,670000,12700,2024-09-11,Diurno,10,5,19312.5,10815,8497.5,44.0
1098,2024-09-10,CL20345,Estados Unidos,Norteamérica,PRD006,Hilado,3800,9.10,5.10,Convencional,Media,FALSE,8,Entregado,4.0,6000,45600,2280000,48600,2024-09-14,Nocturno,30,15,34580,19380,15200,44.0
1099,2024-09-12,CL11022,México,Latinoamérica,PRD004,Tela Estampada,790,22.40,13.20,Convencional,Alta,FALSE,18,Pendiente,,1800,9480,510000,9700,2024-09-16,Diurno,10,5,17696,10428,7268,41.1
1100,2024-09-15,CL30567,España,Europa,PRD009,Hilado,2400,8.50,4.60,Convencional,Alta,FALSE,5,Entregado,4.2,4100,28800,1440000,30700,2024-09-19,Nocturno,24,12,20400,11040,9360,45.9
